epochs,error
1,10.822179708262407
2,3.590340397354922
3,3.573293191838559
4,3.557711587337526
5,3.5438632454623753
6,3.5319091162451763
7,3.521887517435318
8,3.513718286283437
9,3.5072248791145313
10,3.502167482958581
11,3.4982786537153734
12,3.4952944193400772
13,3.49297664670746
14,3.491125432857097
15,3.489582631156282
16,3.488229013199825
17,3.4869779181094143
18,3.4857677853983513
19,3.4845551370490955
20,3.4833087633286794
21,3.482005285483464
22,3.4806259488862707
23,3.4791543789694126
24,3.4775750260981018
25,3.475872069552603
26,3.474028606518927
27,3.472026001562818
28,3.4698433098378354
29,3.467456713439179
30,3.4648389271107236
31,3.461958539455365
32,3.458779260985115
33,3.4552590523295885
34,3.451349105808323
35,3.4469926522305183
36,3.442123563137689
37,3.4366647182125223
38,3.430526111112073
39,3.423602680398454
40,3.4157718870675087
41,3.406891137734988
42,3.3967953088050833
43,3.385294914353825
44,3.3721759348121227
45,3.3572029888676713
46,3.3401282005550454
47,3.3207081811090013
48,3.2987298856367753
49,3.2740418232245547
50,3.246581855658991
51,3.216392523004003
52,3.1836237283187647
53,3.14853156311635
54,3.111476301596084
55,3.0729092554357558
56,3.0333376678611366
57,2.9932688779199235
58,2.95314638565005
59,2.913294690332075
60,2.8738855280599633
61,2.834928175596161
62,2.7962773797806584
63,2.7576492496990754
64,2.7186383587340286
65,2.6787357769217595
66,2.637355485213164
67,2.5938838923908127
68,2.5477700461750583
69,2.498663166427986
70,2.446568425792693
71,2.39194156863654
72,2.3356340075842947
73,2.2786872906678486
74,2.2220938279493834
75,2.1666470834100204
76,2.1129049690058284
77,2.0612174626939184
78,2.0117699656842727
79,1.9646217958120145
80,1.9197372780131898
81,1.8770114644452653
82,1.8362917012824735
83,1.7973952378326012
84,1.7601229365182447
85,1.7242694587157787
86,1.689630615522104
87,1.6560087155959877
88,1.6232167240395179
89,1.5910819221051993
90,1.5594495637328776
91,1.5281867695534064
92,1.4971865821047872
93,1.4663717530812725
94,1.4356975237519223
95,1.4051525230940065
96,1.374757068280126
97,1.3445586319541607
98,1.3146249009444706
99,1.2850354345648283
100,1.255873203582901
101,1.2272171756330235
102,1.1991367116726812
103,1.171688046269168
104,1.14491271425999
105,1.1188375410807734
106,1.0934757309756646
107,1.0688286169608343
108,1.0448877220374273
109,1.0216368800753588
110,0.9990542531308383
111,0.9771141505976918
112,0.9557886041130206
113,0.93504868398898
114,0.9148655625082416
115,0.8952113406329087
116,0.8760596605557335
117,0.857386129172293
118,0.8391685783285933
119,0.8213871874081767
120,0.8040244929061147
121,0.7870653083077566
122,0.7704965759389781
123,0.7543071705223543
124,0.7384876719941467
125,0.7230301227608056
126,0.707927782074355
127,0.6931748876756524
128,0.6787664323929882
129,0.6646979610859469
130,0.6509653912703737
131,0.6375648590057125
132,0.624492590200419
133,0.6117447963982063
134,0.5993175933292613
135,0.5872069400116317
136,0.5754085959242364
137,0.5639180936958099
138,0.5527307248158695
139,0.5418415360311439
140,0.5312453343069171
141,0.5209366984779165
142,0.5109099959655453
143,0.5011594031818938
144,0.4916789284662411
145,0.48246243660133686
146,0.47350367413263783
147,0.46479629486421675
148,0.4563338850321234
149,0.4481099877621531
150,0.4401181265072683
151,0.4323518272331822
152,0.4248046391815419
153,0.4174701540910176
154,0.41034202379928686
155,0.40341397618489083
156,0.3966798294383766
157,0.39013350467781494
158,0.38376903694538067
159,0.3775805846395714
160,0.3715624374522191
161,0.3657090228909557
162,0.36001491147647807
163,0.3544748207100609
164,0.349083617910515
165,0.3438363220214303
166,0.33872810448934915
167,0.3337542893117216
168,0.32891035235039395
169,0.32419192000220864
170,0.3195947673133036
171,0.3151148156181169
172,0.31074812977813165
173,0.3064909150892173
174,0.3023395139201928
175,0.29829040213908614
176,0.2943401853775814
177,0.29048559517843886
178,0.28672348506526835
179,0.2830508265690013
180,0.27946470524075234
181,0.2759623166764949
182,0.27254096257511323
183,0.26919804684790133
184,0.26593107179447584
185,0.2627376343572959
186,0.2596154224645547
187,0.2565622114690703
188,0.25357586068894744
189,0.2506543100541796
190,0.24779557686198064
191,0.24499775264246318
192,0.24225900013528642
193,0.23957755037706335
194,0.23695169989862305
195,0.23437980803065311
196,0.2318602943157871
197,0.22939163602482493
198,0.2269723657744902
199,0.2246010692439011
200,0.2222763829867678
201,0.21999699233621856
202,0.21776162939907734
203,0.2155690711363851
204,0.21341813752694272
205,0.21130768981067244
206,0.20923662880862787
207,0.20720389331653746
208,0.20520845856882358
209,0.2032493347701221
210,0.20132556569140295
211,0.19943622732787947
212,0.1975804266159916
213,0.1957573002068348
214,0.19396601329350746
215,0.1922057584899437
216,0.190475754758893
217,0.18877524638680643
218,0.18710350200347906
219,0.1854598136443928
220,0.1838434958537889
221,0.18225388482659358
222,0.18069033758739625
223,0.1791522312047666
224,0.17763896203927432
225,0.1761499450236504
226,0.17468461297360194
227,0.17324241592786202
228,0.17182282051612513
229,0.170425309353579
230,0.16904938046080892
231,0.16769454670790784
232,0.16636033528167937
233,0.16504628717487846
234,0.16375195669648202
235,0.162476911002031
236,0.16122072964313347
237,0.15998300413525945
238,0.15876333754300237
239,0.15756134408202077
240,0.1563766487369126
241,0.1552088868943086
242,0.15405770399050853
243,0.15292275517301365
244,0.1518037049753419
245,0.15070022700454025
246,0.14961200364083707
247,0.14853872574890503
248,0.14748009240022858
249,0.14643581060609376
250,0.1454055950607441
251,0.14438916789426398
252,0.14338625843477315
253,0.14239660297953727
254,0.14141994457461338
255,0.14045603280267316
256,0.13950462357865664
257,0.13856547895293173
258,0.13763836692164333
259,0.13672306124395722
260,0.13581934126591044
261,0.1349269917505997
262,0.1340458027144454
263,0.13317556926928642
264,0.1323160914700671
265,0.13146717416789103
266,0.1306286268682276
267,0.12980026359406255
268,0.12898190275379787
269,0.1281733670137115
270,0.1273744831747975
271,0.12658508205381494
272,0.12580499836838002
273,0.1250340706259453
274,0.12427214101651474
275,0.12351905530895103
276,0.12277466275073685
277,0.12203881597105935
278,0.12131137088708993
279,0.12059218661333945
280,0.11988112537397372
281,0.11917805241797656
282,0.11848283593705586
283,0.1177953469861898
284,0.11711545940671647
285,0.11644304975187243
286,0.1157779972146915
287,0.11512018355817677
288,0.11446949304766481
289,0.113825812385301
290,0.1131890306465516
291,0.11255903921867975
292,0.1119357317411144
293,0.11131900404764519
294,0.110708754110381
295,0.11010488198540647
296,0.10950728976008077
297,0.10891588150191923
298,0.10833056320900372
299,0.10775124276186927
300,0.10717782987681557
301,0.10661023606059536
302,0.10604837456643278
303,0.10549216035132583
304,0.10494151003459089
305,0.10439634185760654
306,0.10385657564471726
307,0.10332213276525809
308,0.10279293609666318
309,0.10226890998862286
310,0.1017499802282538
311,0.10123607400625059
312,0.1007271198839857
313,0.10022304776152735
314,0.09972378884654574
315,0.09922927562407957
316,0.09873944182713429
317,0.09825422240808668
318,0.0977735535108694
319,0.09729737244391154
320,0.09682561765381072
321,0.0963582286997143
322,0.09589514622838827
323,0.0954363119499497
324,0.0949816686142469
325,0.09453115998786264
326,0.09408473083172454
327,0.09364232687930224
328,0.09320389481537504
329,0.0927693822553511
330,0.09233873772512334
331,0.09191191064144444
332,0.09148885129280597
333,0.09106951082080698
334,0.09065384120199758
335,0.09024179523018225
336,0.08983332649917111
337,0.08942838938596483
338,0.08902693903436111
339,0.08862893133896987
340,0.08823432292962652
341,0.08784307115619022
342,0.08745513407371741
343,0.08707047042799931
344,0.08668903964145322
345,0.0863108017993572
346,0.08593571763641898
347,0.0855637485236693
348,0.08519485645567088
349,0.08482900403803391
350,0.08446615447522947
351,0.08410627155869346
352,0.08374931965521196
353,0.08339526369558058
354,0.08304406916353065
355,0.08269570208491506
356,0.08235012901714593
357,0.08200731703887783
358,0.08166723373993026
359,0.0813298472114421
360,0.08099512603625245
361,0.08066303927950183
362,0.08033355647944743
