epochs,error
1,0.06585779672200821
2,0.06585779672200821
3,0.06561814966786136
4,0.06499670324413988
5,0.06450858473984812
6,0.06446198838354754
7,0.0643704725053192
8,0.06560906162940733
9,0.06386343348668777
10,0.0648496055192117
11,0.06376686479250357
12,0.06331513037316491
13,0.06330911247163089
14,0.06357086837873889
15,0.06382830227789665
16,0.06311815357293449
17,0.06304282583530127
18,0.06298205136826049
19,0.06287762503708556
20,0.06320634773525498
21,0.06289981387435402
22,0.06329307952434281
23,0.065175597563889
24,0.0640109485151032
25,0.06403551086678771
26,0.06466963402393072
27,0.06393222288167877
28,0.06325428647924587
29,0.06545314105991311
30,0.06481661734287562
31,0.06440604578897208
32,0.0641486189237072
33,0.06384420504077751
34,0.06361596387592484
35,0.06374314519250526
36,0.06328517554730786
37,0.06486767210618487
38,0.06413130023145844
39,0.0634161214988506
40,0.06379682423380259
41,0.06344890783729513
42,0.06291054883978305
43,0.06368533967999304
44,0.06310471341594767
45,0.06275155240922585
46,0.06296359345088441
47,0.06395170961755114
48,0.06369752542945867
49,0.06357418207372528
50,0.06378281750245147
51,0.06357057938337782
52,0.0636465628501482
53,0.06373616666028586
54,0.0633206362953035
55,0.0639777018336936
56,0.06371727260617267
57,0.06327227593814275
58,0.0633964880849203
59,0.06331130007443307
60,0.06303574884498617
61,0.06336702013559536
62,0.0640270053891013
63,0.06361501775871722
64,0.06337595011211783
65,0.0633635437058704
66,0.06303042853881796
67,0.06299481566465745
68,0.06283655252881447
69,0.06301987890052202
70,0.0633379806338912
71,0.063519375546841
72,0.06322716093962501
73,0.06311712899843218
74,0.06301151164021232
75,0.06300522323254037
76,0.06371794717453377
77,0.06389930837705048
78,0.06384053837956576
79,0.06413012287643863
80,0.06365535419868519
81,0.06293203040594546
82,0.06287383600321286
83,0.06274527524243882
84,0.06277063722883264
85,0.062859435482202
86,0.06284504262583722
87,0.06272942103020712
88,0.062449316465446596
89,0.062499260841916086
90,0.062396071407216265
91,0.062337117283113024
92,0.06232795045356566
93,0.062298667664595894
94,0.06205576674193672
95,0.06203122720687431
96,0.06294702135352769
97,0.06299956926569812
98,0.0630212093381457
99,0.06403155264744256
100,0.06413685816473179
101,0.06470844500788761
102,0.06347377624044136
103,0.06398834441705173
