epochs,error
1,1.5060630557801131
2,1.5060630557801131
3,1.5060630557801131
4,1.5060630557801131
5,1.5060630557801131
6,1.5060630557801131
7,1.5060630557801131
8,1.5060630557801131
9,1.5060630557801131
10,2.493936944219887
11,1.5060630557801131
12,2.493936944219887
13,1.5060630557801131
14,1.5060630557801131
15,2.493936944219887
16,1.5060630557801131
17,1.5060630557801131
18,2.493936944219887
19,2.493936944219887
20,2.493936944219887
21,1.5060630557801131
22,1.5060630557801131
23,1.5060630557801131
24,2.493936944219887
25,1.5060630557801131
26,1.5060630557801131
27,2.493936944219887
28,2.493936944219887
29,1.5060630557801131
30,1.5060630557801131
31,1.5060630557801131
32,1.5060630557801131
33,1.5060630557801131
34,1.5060630557801131
35,2.493936944219887
36,1.5060630557801131
37,2.493936944219887
38,2.493936944219887
39,1.5060630557801131
40,1.5060630557801131
41,1.5060630557801131
42,1.5060630557801131
43,1.5060630557801131
44,1.5060630557801131
45,1.5060630557801131
46,1.5060630557801131
47,1.5060630557801131
48,1.5060630557801131
49,2.493936944219887
50,2.493936944219887
51,1.5060630557801131
52,1.5060630557801131
53,2.493936944219887
54,1.5060630557801131
55,1.5060630557801131
56,1.5060630557801131
57,1.5060630557801131
58,2.493936944219887
59,1.5060630557801131
60,1.5060630557801131
61,1.5060630557801131
62,1.5060630557801131
63,2.493936944219887
64,1.5060630557801131
65,1.5060630557801131
66,1.5060630557801131
67,2.493936944219887
68,2.493936944219887
69,1.5060630557801131
70,2.493936944219887
71,1.5060630557801131
72,1.5060630557801131
73,1.5060630557801131
74,2.493936944219887
75,2.493936944219887
76,1.5060630557801131
77,2.493936944219887
78,2.493936944219887
79,1.5060630557801131
80,2.493936944219887
81,1.5060630557801131
82,2.493936944219887
83,1.5060630557801131
84,1.5060630557801131
85,1.5060630557801131
86,2.493936944219887
87,2.493936944219887
88,1.5060630557801131
89,1.5060630557801131
90,1.5060630557801131
91,2.493936944219887
92,1.5060630557801131
93,1.5060630557801131
94,2.493936944219887
95,1.5060630557801131
96,2.493936944219887
97,2.493936944219887
98,1.5060630557801131
99,1.5060630557801131
100,1.5060630557801131
101,1.5060630557801131
